       [,1]                 
[139,] "sub-NDARINV4D622NWA"
[140,] "sub-NDARINV4EK87DJK"
[141,] "sub-NDARINV4F8LNY2K"
[142,] "sub-NDARINV4GHXF68C"
[143,] "sub-NDARINV4GP0WREF"
[144,] "sub-NDARINV4JHN1XBR"
[145,] "sub-NDARINV4LUBR4AE"
[146,] "sub-NDARINV4NVN1B5J"
[147,] "sub-NDARINV4PERLVAB"
[148,] "sub-NDARINV4PKFHBXH"
[149,] "sub-NDARINV4TG8X5LW"
[150,] "sub-NDARINV4TT6ZX1A"
[151,] "sub-NDARINV4WA9A9A5"
[152,] "sub-NDARINV4Y828ZMP"
[153,] "sub-NDARINV4YPJW3P2"
[154,] "sub-NDARINV51MR96PG"
[155,] "sub-NDARINV51ZUKMA3"
[156,] "sub-NDARINV52AE3MBX"
[157,] "sub-NDARINV52XG9LJ3"
[158,] "sub-NDARINV54AFKCAX"
[159,] "sub-NDARINV56TWKCTL"
[160,] "sub-NDARINV5784LZWF"
[161,] "sub-NDARINV57TXVRYZ"
[162,] "sub-NDARINV58V0LMM9"
[163,] "sub-NDARINV58VGXCL7"
[164,] "sub-NDARINV591LR2LK"
[165,] "sub-NDARINV5A6YDAY7"
[166,] "sub-NDARINV5BA97WFG"
[167,] "sub-NDARINV5DJB583J"
[168,] "sub-NDARINV5LKV9216"
[169,] "sub-NDARINV5MYF77YV"
[170,] "sub-NDARINV5NHWRD1C"
[171,] "sub-NDARINV5RCURZX7"
[172,] "sub-NDARINV5T572NVH"
[173,] "sub-NDARINV5V2AYDE7"
[174,] "sub-NDARINV5VAD4B1H"
[175,] "sub-NDARINV5VJHAFVK"
[176,] "sub-NDARINV5VVD4E6G"
[177,] "sub-NDARINV5XAZTBUE"
[178,] "sub-NDARINV5XJMU584"
[179,] "sub-NDARINV5XV8TY4W"
[180,] "sub-NDARINV5YKAB0PN"
[181,] "sub-NDARINV5YLL09V1"
[182,] "sub-NDARINV5YM7M2ME"
[183,] "sub-NDARINV5ZAP9LUZ"
[184,] "sub-NDARINV60VLVXBP"
[185,] "sub-NDARINV61RKCL4Y"
[186,] "sub-NDARINV65V1Z314"
[187,] "sub-NDARINV65VTXZRA"
[188,] "sub-NDARINV665J58DF"
[189,] "sub-NDARINV67GRP56R"
[190,] "sub-NDARINV68UE7DYK"
[191,] "sub-NDARINV69EDG4B6"
[192,] "sub-NDARINV69W6GH2W"
